10.03.2012,parliamentary
Zelení,7860
KDH,225361
SDĽ,4844
SNS,116420
OĽaNO,218537
SaS,150266
PRÁVO,10604
Náš kraj,4859
SZ,10832
ĽS-NS,40460
SMER,1134280
Zmena zdola,33155
NaS,16234
KSS,18583
SRÚS,2891
MOST-HÍD,176088
99%,40488
ĽS-HZDS,23772
STRANA +1HLAS,779
SF,8908
OL,4320
SDKÚ-DS,155744
SOS,3836
MKP,109483
Slobodné slovo,31159
SŽS,3963
