30.09.1994,parliamentary
HZPČS,30292
SD,7121
ZRS,211321
MK,292936
SP.VOĽBA,299496
DÚ,246444
SPK,37929
ZPR-REP,1410
DS,98555
NS,38369
KSS,78419
ROISR,19542
SNS,155359
KDH,289987
HZDS-RSS,1005488
KSÚ,59217
RSDSS,3573
