20.09.2002,parliamentary
HZDS,560691
SDKÚ,433953
SMER,387100
SMK-MKP,321069
KDH,237202
ANO,230309
KSS,181872
P SNS,105084
SNS,95633
HZD,94324
SDA,51649
SDĽ,39163
SZS,28365
NOSNP,26205
ZRS,15755
ŽAR,12646
OKS,9422
ROSA,8699
ROISR,8420
SDPO,6716
ĽB,6441
ROMA,6234
SNJ,4548
B-RRS,2818
ĽS,763
