12.06.2010,parliamentary
EDS,10332
Únia,17741
SRK,6947
Paliho kapurková,14576
SaS,307287
SDĽ,61137
SMK-MKP,109638
ĽS-HZDS,109480
KSS,21104
SNS,128490
ND,7962
ZRS,6196
KDH,215755
ĽS-NS,33724
SDKÚ-DS,390042
AZEN,3325
SMER-SD,880111
MOST-HÍD,205538
