25.09.1998,parliamentary
HZDS,907103
SDK,884497
SDĽ,492507
SMK,306623
SNS,304839
SOP,269343
KSS,94015
ZRS,43809
NS,16192
SĽS,9227
MĽHZP,6587
NEI,6232
SNJ,4688
B-RRS,4391
JSPS,3574
NAS,3034
HTC,2515
