16.03.2019,presidential
Béla Bugár,66667
Zuzana Čaputová,870415
Martin Daňo,11146
Štefan Harabin,307823
Eduard Chmelár,58965
Marian Kotleba,222935
Milan Krajniak,59464
József Menyhárt,1208
František Mikloško,122916
Robert Mistrík,3318
Maroš Šefčovič,400379
Róbert Švec,6567
Bohumila Tauchmannová,3535
Juraj Zábojník,6219
Ivan Zuzula,3807
second round
Zuzana Čaputová,1056582
Maroš Šefčovič,752403
