21.03.2009,presidential
Ivan Gašparovič,876061
Iveta Radičová,713735
František Mikloško,101573
Zuzana Martináková,96035
Milan Melník,45985
Dagmara Bollová,21378
Milan Sidor,20862
second round
Ivan Gašparovič,1234787
Iveta Radičová,988808
