29.05.1999,presidential
Rudolf Schuster,1396950
Vladimír Mečiar,1097956
Magdaléna Vášáryová,194635
Ivan Mjartan,105903
Ján Slota,73836
Boris Zala,29697
Juraj Švec,24077
Juraj Lazarčík,15386
Ján Demikát,4537
Michal Kováč,5425
second round
Rudolf Schuster,1727481
Vladimír Mečiar,1293642
