29.02.2020,parliamentary
DOBRÁ VOĽBA,88220
SaS,179246
SME RODINA,237531
Slovenské Hnutie Obrody,1966
ZA ĽUDÍ,166325
MÁME TOHO DOSŤ!,9260
Hlas pravice,0
SNS,91171
DS,4194
OĽANO,721166
Koalícia PS a SPOLU,200780
STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,2018
99%,991
KDH,134099
Slovenská liga,809
VLASŤ,84507
MOST-HÍD,59174
SMER-SD,527172
SOLIDARITA,3296
HLAS ĽUDU,1887
Magyar Közösségi Összefogás,112662
PSN,1261
ĽSNS,229660
Socialisti.sk,15925
SLS,8191
