15.03.2014,presidential
Robert Fico,531919
Andrej Kiska,455996
Radoslav Procházka,403548
Milan Kňažko,244401
Gyula Bárdos,97035
Pavol Hrušovský,63298
Helena Mezenská,45180
Ján Jurišta,12209
Ján Čarnogurský,12207
Viliam Fischer,9514
Jozef Behýl,9126
Milan Melník,7678
Jozef Šimko,4674
Stanislav Martinčko,2547
second round
Robert Fico,893841
Andrej Kiska,1307065
