17.06.2006,parliamentary
ĽB,9174
SOS,2498
M21,2523
SDĽ,2906
ZRS,6864
KDH,191443
SNK-SV,4016
ANO,32775
HZD,14728
SMK-MKP,269111
SF,79963
OKS,6262
PS,3118
ĽS-HZDS,202540
ASV,3160
KSS,89418
SĽS,3815
SDKÚ-DS,422815
SMER,671185
SNS,270230
NÁDEJ,14595
